"Table 3. Current-Dollar Gross Domestic Product (GDP) by State and Region, 2019:Q1–2020:Q3",,,,,,,,,,,,,,
,Millions of dollars,,,,,,,Percent of the U.S.,,,,,,
,Seasonally adjusted at annual rates,,,,,,,,,,,,,
,2019,,,,2020,,,2019,,,,2020,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q1,Q2,Q3,Q4,Q1,Q2,Q3
United States,"21,115,309","21,329,877","21,540,325","21,747,394","21,561,139","19,520,114","21,170,252",100,100,100,100,100,100,100
New England ,"1,123,191","1,130,963","1,140,932","1,147,568","1,141,524","1,035,902","1,121,716",5.3,5.3,5.3,5.3,5.3,5.3,5.3
Connecticut,"285,446","286,646","288,493","290,703","288,368","262,708","283,601",1.4,1.3,1.3,1.3,1.3,1.3,1.3
Maine ,"66,662","67,053","68,168","68,985","68,319","61,496","67,129",0.3,0.3,0.3,0.3,0.3,0.3,0.3
Massachusetts ,"588,308","594,310","600,545","603,210","600,740","546,546","590,307",2.8,2.8,2.8,2.8,2.8,2.8,2.8
New Hampshire ,"87,338","87,343","87,840","88,015","88,126","78,691","86,319",0.4,0.4,0.4,0.4,0.4,0.4,0.4
Rhode Island ,"61,627","61,805","61,769","62,335","61,954","56,285","61,081",0.3,0.3,0.3,0.3,0.3,0.3,0.3
Vermont ,"33,810","33,806","34,117","34,320","34,017","30,175","33,278",0.2,0.2,0.2,0.2,0.2,0.2,0.2
Mideast ,"3,809,315","3,853,178","3,880,374","3,909,138","3,882,625","3,493,919","3,768,023",18,18.1,18,18,18,17.9,17.8
Delaware ,"76,250","76,925","77,276","77,879","76,283","71,611","76,468",0.4,0.4,0.4,0.4,0.4,0.4,0.4
District of Columbia ,"141,906","142,608","143,765","145,278","145,728","137,972","144,653",0.7,0.7,0.7,0.7,0.7,0.7,0.7
Maryland ,"420,722","424,620","428,650","432,998","431,772","398,609","427,616",2,2,2,2,2,2,2
New Jersey,"626,258","631,546","638,364","642,968","641,666","574,018","625,659",3,3,3,3,3,2.9,3
New York,"1,746,191","1,771,545","1,779,740","1,791,567","1,778,240","1,587,879","1,705,127",8.3,8.3,8.3,8.2,8.2,8.1,8.1
Pennsylvania ,"797,988","805,933","812,580","818,449","808,937","723,830","788,500",3.8,3.8,3.8,3.8,3.8,3.7,3.7
Great Lakes ,"2,815,621","2,832,372","2,860,720","2,879,021","2,845,797","2,567,212","2,807,752",13.3,13.3,13.3,13.2,13.2,13.2,13.3
Illinois ,"878,173","880,445","890,358","893,356","884,447","807,383","875,671",4.2,4.1,4.1,4.1,4.1,4.1,4.1
Indiana,"374,443","377,844","381,579","384,872","381,902","344,033","379,293",1.8,1.8,1.8,1.8,1.8,1.8,1.8
Michigan ,"529,751","533,727","540,586","543,489","535,153","475,494","524,828",2.5,2.5,2.5,2.5,2.5,2.4,2.5
Ohio ,"688,012","691,885","698,181","703,369","696,274","626,275","683,460",3.3,3.2,3.2,3.2,3.2,3.2,3.2
Wisconsin ,"345,242","348,471","350,017","353,935","348,021","314,027","344,500",1.6,1.6,1.6,1.6,1.6,1.6,1.6
Plains ,"1,306,756","1,318,496","1,332,856","1,343,741","1,334,416","1,208,190","1,315,096",6.2,6.2,6.2,6.2,6.2,6.2,6.2
Iowa ,"192,286","193,982","196,117","196,247","196,503","179,037","195,353",0.9,0.9,0.9,0.9,0.9,0.9,0.9
Kansas,"174,452","175,962","176,954","178,605","177,917","161,464","175,465",0.8,0.8,0.8,0.8,0.8,0.8,0.8
Minnesota ,"378,234","381,618","385,752","389,504","384,500","348,034","379,388",1.8,1.8,1.8,1.8,1.8,1.8,1.8
Missouri ,"324,813","326,230","329,900","332,660","330,287","299,131","325,841",1.5,1.5,1.5,1.5,1.5,1.5,1.5
Nebraska,"126,562","128,851","131,433","133,201","132,720","119,692","129,761",0.6,0.6,0.6,0.6,0.6,0.6,0.6
North Dakota ,"56,696","57,357","57,199","57,472","56,417","49,881","54,044",0.3,0.3,0.3,0.3,0.3,0.3,0.3
South Dakota ,"53,712","54,497","55,502","56,052","56,072","50,951","55,243",0.3,0.3,0.3,0.3,0.3,0.3,0.3
Southeast ,"4,464,596","4,504,473","4,556,884","4,598,427","4,566,004","4,154,333","4,512,857",21.1,21.1,21.2,21.1,21.2,21.3,21.3
Alabama ,"225,565","226,927","229,328","230,750","229,831","209,852","228,062",1.1,1.1,1.1,1.1,1.1,1.1,1.1
Arkansas,"129,193","130,471","131,556","132,596","131,818","120,812","130,709",0.6,0.6,0.6,0.6,0.6,0.6,0.6
Florida ,"1,087,641","1,098,679","1,113,170","1,126,510","1,121,367","1,026,676","1,111,614",5.2,5.2,5.2,5.2,5.2,5.3,5.3
Georgia ,"616,437","622,814","629,466","634,138","631,346","580,732","627,667",2.9,2.9,2.9,2.9,2.9,3,3
Kentucky,"212,486","214,284","216,399","218,426","216,580","193,878","213,169",1,1,1,1,1,1,1
Louisiana ,"255,724","255,708","257,162","259,079","250,976","224,129","244,577",1.2,1.2,1.2,1.2,1.2,1.1,1.2
Mississippi ,"114,563","115,175","116,506","117,642","117,099","105,681","115,900",0.5,0.5,0.5,0.5,0.5,0.5,0.5
North Carolina ,"581,020","588,477","595,118","601,788","600,631","546,776","594,126",2.8,2.8,2.8,2.8,2.8,2.8,2.8
South Carolina ,"244,305","245,095","249,111","251,665","247,817","224,689","245,473",1.2,1.1,1.2,1.2,1.1,1.2,1.2
Tennessee ,"370,936","375,387","379,183","380,823","379,454","333,194","369,063",1.8,1.8,1.8,1.8,1.8,1.7,1.7
Virginia ,"548,014","552,270","560,808","566,529","562,718","519,912","557,986",2.6,2.6,2.6,2.6,2.6,2.7,2.6
West Virginia ,"78,711","79,185","79,078","78,480","76,366","68,001","74,511",0.4,0.4,0.4,0.4,0.4,0.3,0.4
Southwest ,"2,493,924","2,509,437","2,531,924","2,549,119","2,495,938","2,244,754","2,438,088",11.8,11.8,11.8,11.7,11.6,11.5,11.5
Arizona ,"361,380","366,905","373,173","379,019","377,476","350,141","378,297",1.7,1.7,1.7,1.7,1.8,1.8,1.8
New Mexico,"102,972","104,682","106,005","106,914","104,462","93,367","100,777",0.5,0.5,0.5,0.5,0.5,0.5,0.5
Oklahoma,"202,147","202,274","202,119","201,604","195,606","173,061","186,883",1,0.9,0.9,0.9,0.9,0.9,0.9
Texas,"1,827,426","1,835,576","1,850,626","1,861,582","1,818,394","1,628,185","1,772,132",8.7,8.6,8.6,8.6,8.4,8.3,8.4
Rocky Mountain ,"747,065","755,943","769,001","778,093","773,436","706,242","766,386",3.5,3.5,3.6,3.6,3.6,3.6,3.6
Colorado ,"384,027","390,214","396,840","400,863","400,041","365,009","394,271",1.8,1.8,1.8,1.8,1.9,1.9,1.9
Idaho ,"81,657","82,880","84,333","85,791","85,835","77,384","85,552",0.4,0.4,0.4,0.4,0.4,0.4,0.4
Montana ,"51,911","52,442","53,351","54,035","53,285","47,721","51,934",0.2,0.2,0.2,0.2,0.2,0.2,0.2
Utah ,"189,356","190,105","193,976","196,639","195,594","182,895","198,630",0.9,0.9,0.9,0.9,0.9,0.9,0.9
Wyoming ,"40,114","40,301","40,501","40,764","38,680","33,233","36,000",0.2,0.2,0.2,0.2,0.2,0.2,0.2
Far West,"4,236,590","4,305,051","4,347,376","4,421,982","4,400,773","3,992,043","4,322,036",20.1,20.2,20.2,20.3,20.4,20.5,20.4
Alaska ,"54,138","54,280","54,450","54,675","52,864","45,644","50,413",0.3,0.3,0.3,0.3,0.2,0.2,0.2
California ,"3,063,191","3,119,174","3,143,837","3,205,000","3,189,703","2,893,054","3,120,386",14.5,14.6,14.6,14.7,14.8,14.8,14.7
Hawaii ,"94,840","95,111","96,025","97,001","95,364","83,429","89,866",0.4,0.4,0.4,0.4,0.4,0.4,0.4
Nevada,"174,547","176,844","179,656","181,752","180,034","156,421","175,509",0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oregon ,"249,544","251,472","254,785","258,693","257,688","233,799","253,849",1.2,1.2,1.2,1.2,1.2,1.2,1.2
Washington,"600,331","608,171","618,623","624,861","625,121","579,695","632,013",2.8,2.9,2.9,2.9,2.9,3,3
